EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MNFM100008244;KA PB / OM Region Süd/Südwest;Zuffhäuser Kelterplatz 1;70435
MNFM100123090;OM Region Süd/Südwest;Zuffenhäuser Kelterplatz 1;70435
MN184690;Stuttgart 30 (Feuerbach);Wiener Platz 1;70469
MN181021;3673 Stuttgart 3 (Vaihingen);Möhringer Landstr. 2;70563
MN184685;Stuttgart 80 (Vaihingen);Möhringer Landstr. 2;70563
MN184693;Stuttgart 70 (Degerloch);Julius-Hölder-Str. 29;70597
MNFM100007723;GTW Stuttgart;Luftfrachtzentrum, Gebäude 620;70629
MNFM100119742;Luftfrachtzentrum, Gebäude 620;Luftfrachtzentrum, Gebäude 620;70629
MNFM100124463;DHL Express Stuttgart (JPM);Luftfrachtzentrum, Gebäude 620;70629
MNFM100124941;DHL Express Stuttgart GmbH;Luftfrachtzentrum, Gebäude 620;70629
